# %ECSV 0.9
# ---
# datatype:
# - {name: Region, datatype: string}
# - {name: Mavg, unit: earthMass, datatype: float64}
# - {name: ln_Mavg/Mearth, datatype: float64}
# - {name: e_ln_Mavg/Mearth, datatype: float64}
# - {name: sigma_ln_Mavg/Mearth, datatype: float64}
# - {name: e_sigma_ln_Mavg/Mearth, datatype: float64}
# - {name: surfdens_YSO, datatype: float64}
# schema: astropy-2.0
Region Mavg ln_Mavg/Mearth e_ln_Mavg/Mearth sigma_ln_Mavg/Mearth e_sigma_ln_Mavg/Mearth surfdens_YSO
ONC 0.5933635601928733 -0.5219479815164327 0.22144728888606413 2.0982919204637684 0.18968302797254788 6129.402484718845
Lupus 2.9519472886643645 1.0824650504352953 0.26703711285785237 2.1775874650412925 0.21165014132185253 21.97220445068663
OMC-2 2.9072960950227893 1.0672234722627743 0.3597605174823362 2.277522874075884 0.30230395591790543 255.23826034216037
NGC2024-East 2.575657522424614 0.9461048500342294 0.29818463151102315 2.259937241701026 0.2676867299870839 3989.3052533786604
NGC2024-West 0.35860146934634557 -1.0255436203673363 0.6127579228891136 1.9582681653386713 0.4501699120134495 2212.35289530324
Taurus 3.3484894704088424 1.2085093397934679 0.17215302549339107 2.027951813272637 0.1516099466513039 2.51188643150958
